date,open,high,low,close,volume,name
29-Dec-16,783.33,785.93,778.92,782.79,744272,GOOG
28-Dec-16,793.7,794.23,783.2,785.05,1153824,GOOG
27-Dec-16,790.68,797.86,787.66,791.55,789321,GOOG
23-Dec-16,790.9,792.74,787.28,789.91,623944,GOOG
22-Dec-16,792.36,793.32,788.58,791.26,972169,GOOG
21-Dec-16,795.84,796.68,787.1,794.56,1211346,GOOG
20-Dec-16,796.76,798.65,793.27,796.42,951014,GOOG
19-Dec-16,790.22,797.66,786.27,794.2,1232087,GOOG
16-Dec-16,800.4,800.86,790.29,790.8,2443796,GOOG
15-Dec-16,797.34,803,792.92,797.85,1626499,GOOG
14-Dec-16,797.4,804,794.01,797.07,1704150,GOOG
13-Dec-16,793.9,804.38,793.34,796.1,2145209,GOOG
12-Dec-16,785.04,791.25,784.36,789.27,2104117,GOOG
9-Dec-16,780,789.43,779.02,789.29,1821914,GOOG
8-Dec-16,772.48,778.18,767.23,776.42,1488059,GOOG
7-Dec-16,761,771.36,755.8,771.19,1760966,GOOG
6-Dec-16,764.73,768.83,757.34,759.11,1690689,GOOG
5-Dec-16,757.71,763.9,752.9,762.52,1394223,GOOG
2-Dec-16,744.59,754,743.1,750.5,1452484,GOOG
1-Dec-16,757.44,759.85,737.02,747.92,3017947,GOOG
30-Nov-16,770.07,772.99,754.83,758.04,2392890,GOOG
29-Nov-16,771.53,778.5,768.24,770.84,1616618,GOOG
28-Nov-16,760,779.53,759.8,768.24,2188151,GOOG
25-Nov-16,764.26,765,760.52,761.68,587421,GOOG
23-Nov-16,767.73,768.28,755.25,760.99,1478417,GOOG
22-Nov-16,772.63,776.96,767,768.27,1593108,GOOG
21-Nov-16,762.61,769.7,760.6,769.2,1330639,GOOG
18-Nov-16,771.37,775,760,760.54,1547145,GOOG
17-Nov-16,766.92,772.7,764.23,771.23,1286961,GOOG
16-Nov-16,755.2,766.36,750.51,764.48,1472594,GOOG
15-Nov-16,746.97,764.42,746.97,758.49,2384001,GOOG
26-Jan-17,64.12,64.54,63.55,64.27,43554645,MSFT
25-Jan-17,63.95,64.1,63.45,63.68,24654933,MSFT
24-Jan-17,63.2,63.74,62.94,63.52,24672940,MSFT
23-Jan-17,62.7,63.12,62.57,62.96,23097581,MSFT
20-Jan-17,62.67,62.82,62.37,62.74,30213462,MSFT
19-Jan-17,62.24,62.98,62.2,62.3,18451655,MSFT
18-Jan-17,62.67,62.7,62.12,62.5,19670102,MSFT
17-Jan-17,62.68,62.7,62.03,62.53,20663983,MSFT
13-Jan-17,62.62,62.86,62.35,62.7,19422310,MSFT
12-Jan-17,63.06,63.4,61.95,62.61,20968223,MSFT
11-Jan-17,62.61,63.23,62.43,63.19,21517335,MSFT
10-Jan-17,62.73,63.07,62.28,62.62,18593004,MSFT
9-Jan-17,62.76,63.08,62.54,62.64,20382730,MSFT
6-Jan-17,62.3,63.15,62.04,62.84,19922919,MSFT
5-Jan-17,62.19,62.66,62.03,62.3,24875968,MSFT
4-Jan-17,62.48,62.75,62.12,62.3,21339969,MSFT
3-Jan-17,62.79,62.84,62.12,62.58,20694101,MSFT
30-Dec-16,62.96,62.99,62.03,62.14,25579908,MSFT
29-Dec-16,62.86,63.2,62.73,62.9,10250582,MSFT
28-Dec-16,63.4,63.4,62.83,62.99,14653348,MSFT
27-Dec-16,63.21,64.07,63.21,63.28,11763173,MSFT
23-Dec-16,63.45,63.54,62.8,63.24,12403819,MSFT
22-Dec-16,63.84,64.1,63.4,63.55,22176585,MSFT
